mod; YYYY/MM/DD; HH:MM:SS; aligned
src; "Omnibus Systems - Omnibase "; "2010/03/28" ; "11:14:07"
chs; "ASCII"
ver; "For help and support contact the Omnibus Support Team"
ifv; "Version 5.0"
dve; "For help and support contact the Omnibus Support Team"
fft; ""
tbl; STOP_POINT
atr; BASE_VERSION; POINT_TYPE; POINT_NO; STOP_POINT_NO; STOP_POINT_DESC
frm; num[11.0]; num[11.0]; num[11.0]; num[11.0]; char[40]
rec;    20100328;           1;       14900;           0;              "The Windmill Old/S'Ham Rd"
rec;    20100328;           1;       14901;           1;              "The Windmill Old/S'Ham Rd"
rec;    20100328;           1;       15000;           0;                     "St Theresas Church"
rec;    20100328;           1;       15001;           1;                     "St Theresas Church"
rec;    20100328;           1;       15100;           0;                          "Kingston Lane"
rec;    20100328;           1;       15101;           1;                          "Kingston Lane"
rec;    20100328;           1;       15201;           1;                            "The Twitten"
rec;    20100328;           1;       15300;           0;                 "Southwick Square Shops"
rec;    20100328;           1;       15301;           1;                 "Southwick Square Shops"
rec;    20100328;           1;       15400;           0;                        "Southwick Green"
rec;    20100328;           1;       15401;           1;                        "Southwick Green"
rec;    20100328;           1;       15500;           0;                           "Rectory Road"
rec;    20100328;           1;       15501;           1;                           "Rectory Road"
rec;    20100328;           1;       15600;           0;                       "St Julians Close"
rec;    20100328;           1;       15601;           1;                       "St Julians Close"
rec;    20100328;           1;       15700;           0;                         "Clarendon Road"
rec;    20100328;           1;       15701;           1;                         "Clarendon Road"
rec;    20100328;           1;       15800;           0;                           "Royal George"
rec;    20100328;           1;       15801;           1;                           "Royal George"
rec;    20100328;           1;       15900;           0;                    "Southlands Hospital"
rec;    20100328;           1;       15901;           1;                    "Southlands Hospital"
rec;    20100328;           1;       16000;           0;                            "Wilmot Road"
rec;    20100328;           1;       16001;           1;                            "Wilmot Road"
rec;    20100328;           1;       16100;           0;                            "Middle Road"
rec;    20100328;           1;       16101;           1;                            "Middle Road"
rec;    20100328;           1;       16200;           0;                             "Crown Road"
rec;    20100328;           1;       16201;           1;                             "Crown Road"
rec;    20100328;           1;       16300;           0;                         "Sullington Way"
rec;    20100328;           1;       16301;           1;                         "Sullington Way"
rec;    20100328;           1;       16400;           0;                         "Eastern Avenue"
rec;    20100328;           1;       16401;           1;                         "Eastern Avenue"
rec;    20100328;           1;       16500;           0;                     "Duke of Wellington"
rec;    20100328;           1;       16601;           1;                          "Buci Crescent"
rec;    20100328;           1;       16700;           0;                          "New Barn Road"
rec;    20100328;           1;       16701;           1;                          "New Barn Road"
rec;    20100328;           1;       16800;           0;                          "Trueleigh Way"
rec;    20100328;           1;       16801;           1;                          "Trueleigh Way"
rec;    20100328;           1;       17000;           0;                       "Edburton Gardens"
rec;    20100328;           1;       17001;           1;                       "Edburton Gardens"
rec;    20100328;           1;       17100;           0;                        "Mill Hill Drive"
rec;    20100328;           1;       17101;           1;                        "Mill Hill Drive"
rec;    20100328;           1;       17200;           0;                           "The Driveway"
rec;    20100328;           1;       17201;           1;                           "The Driveway"
rec;    20100328;           1;       17300;           0;                         "Nicolson Drive"
rec;    20100328;           1;       17301;           1;                         "Nicolson Drive"
rec;    20100328;           1;       17400;           0;                       "Shoreham Station"
rec;    20100328;           1;       17401;           1;                       "Shoreham Station"
rec;    20100328;           1;       17500;           0;                               "Ham Road"
rec;    20100328;           1;       17501;           1;                               "Ham Road"
rec;    20100328;           1;       17600;           0;                    "Shoreham Footbridge"
rec;    20100328;           1;       17601;           1;                    "Shoreham Footbridge"
rec;    20100328;           1;       17700;           0;                   "Shoreham High Street"
rec;    20100328;           1;       17701;           1;                   "Shoreham High Street"
rec;    20100328;           1;       17800;           0;                 "Adur Recreation Ground"
rec;    20100328;           1;       17801;           1;                 "Adur Recreation Ground"
rec;    20100328;           1;       17900;           0;                            "Royal Coach"
rec;    20100328;           1;       17901;           1;                            "Royal Coach"
rec;    20100328;           1;       18000;           0;                          "Swiss Cottage"
rec;    20100328;           1;       18001;           1;                          "Swiss Cottage"
rec;    20100328;           1;       18100;           0;                 "Old Shoreham Rd. S'Ham"
rec;    20100328;           1;       18101;           1;                 "Old Shoreham Rd. S'Ham"
rec;    20100328;           1;       18200;           0;                               "Red Lion"
rec;    20100328;           1;       18201;           1;                               "Red Lion"
rec;    20100328;           1;       18300;           0;                          "Porthall Road"
rec;    20100328;           1;       18301;           1;                          "Porthall Road"
rec;    20100328;           1;       18400;           0;                              "Park Lane"
rec;    20100328;           1;       18401;           1;                              "Park Lane"
rec;    20100328;           1;       18500;           0;                           "Booth Museum"
rec;    20100328;           1;       18501;           1;                           "Booth Museum"
rec;    20100328;           1;       18600;           0;                      "Dyke Tavern South"
rec;    20100328;           1;       18700;           0;                        "Cardinal Newman"
rec;    20100328;           1;       18701;           1;                        "Cardinal Newman"
rec;    20100328;           1;       18800;           0;                 "Southlands Outpatients"
rec;    20100328;           1;       18801;           1;                 "Southlands Outpatients"
rec;    20100328;           1;       18900;           0;                "Seven Dials/Vernon Terr"
rec;    20100328;           1;       18901;           1;                "Seven Dials/Vernon Terr"
rec;    20100328;           1;       19001;           1;                "Seven Dials/Goldsmid Rd"
rec;    20100328;           1;       19100;           0;                            "Upper Drive"
rec;    20100328;           1;       19101;           1;                            "Upper Drive"
rec;    20100328;           1;       19400;           0;                         "Lansdowne Road"
rec;    20100328;           1;       19401;           1;                         "Lansdowne Road"
rec;    20100328;           1;       19500;           0;                 "Southlands Post Office"
rec;    20100328;           1;       19501;           1;                 "Southlands Post Office"
rec;    20100328;           1;       20000;           0;                           "Bromley Road"
rec;    20100328;           1;       20001;           1;                           "Bromley Road"
rec;    20100328;           1;       20100;           0;                       "Friar Road E.End"
rec;    20100328;           1;       20101;           1;                       "Friar Road E.End"
rec;    20100328;           1;       20200;           0;                              "Amsterdam"
rec;    20100328;           1;       20201;           1;                              "Amsterdam"
rec;    20100328;           1;       20300;           0;                           "The Saltings"
rec;    20100328;           1;       20301;           1;                           "The Saltings"
